#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              4668.7          2.7555e-15                       |         6.42132626e+14      2.00341835e-29                    
              4672.7          2.7314e-15                       |         6.41582937e+14      1.98930053e-29                    
              4676.7          2.7533e-15                       |         6.41034189e+14      2.00868508e-29                    
              4680.8          2.7436e-15                       |         6.40472695e+14      2.00511950e-29                    
              4684.8          2.7134e-15                       |         6.39925843e+14      1.98643897e-29                    
              4688.8          2.7155e-15                       |         6.39379925e+14      1.99137256e-29                    
              4692.8          2.7451e-15                       |         6.38834936e+14      2.01651546e-29                    
              4696.8          2.7442e-15                       |         6.38290877e+14      2.01929231e-29                    
              4700.9           2.748e-15                       |         6.37734176e+14      2.02562034e-29                    
              4704.9           2.795e-15                       |         6.37191989e+14      2.06377289e-29                    
              4708.9           2.795e-15                       |         6.36650723e+14      2.06728352e-29                    
              4712.9          2.8188e-15                       |         6.36110376e+14      2.08843041e-29                    
                4717           2.858e-15                       |         6.35557471e+14      2.12115924e-29                    
                4721          2.8924e-15                       |         6.35018977e+14      2.15033265e-29                    
                4725          2.8834e-15                       |         6.34481395e+14      2.14727573e-29                    
                4729          2.9294e-15                       |         6.33944722e+14      2.18522722e-29                    
              4733.1          2.9749e-15                       |         6.33395574e+14      2.22301825e-29                    
              4737.1           3.006e-15                       |         6.32860735e+14      2.25005626e-29                    
              4741.1          3.0147e-15                       |         6.32326800e+14      2.26038089e-29                    
              4745.1           3.044e-15                       |         6.31793764e+14      2.28620243e-29                    
              4749.2          3.0556e-15                       |         6.31248334e+14      2.29888219e-29                    
              4753.2          3.0063e-15                       |         6.30717115e+14      2.26560289e-29                    
              4757.2          2.9235e-15                       |         6.30186788e+14      2.20691301e-29                    
              4761.2          2.9386e-15                       |         6.29657353e+14      2.22204382e-29                    
              4765.3          2.9401e-15                       |         6.29115604e+14      2.22700859e-29                    
              4769.3           2.885e-15                       |         6.28587967e+14      2.18894271e-29                    
              4773.3          2.8448e-15                       |         6.28061213e+14      2.16206375e-29                    
              4777.3          2.8195e-15                       |         6.27535342e+14      2.14642849e-29                    
              4781.3          2.8199e-15                       |         6.27010351e+14      2.15032939e-29                    
              4785.4          2.8171e-15                       |         6.26473145e+14      2.15188000e-29                    
              4789.4           2.751e-15                       |         6.25949929e+14      2.10490309e-29                    
              4793.4          2.7281e-15                       |         6.25427586e+14      2.09086948e-29                    
              4797.4          2.7093e-15                       |         6.24906114e+14      2.07992777e-29                    
              4801.5          2.6767e-15                       |         6.24372507e+14      2.05841463e-29                    
              4805.5          2.6579e-15                       |         6.23852792e+14      2.04736416e-29                    
              4809.5          2.7059e-15                       |         6.23333941e+14      2.08780963e-29                    
              4813.5          2.6464e-15                       |         6.22815953e+14      2.04529867e-29                    
              4817.6          2.6875e-15                       |         6.22285908e+14      2.08060312e-29                    
              4821.6          2.6929e-15                       |         6.21769659e+14      2.08824706e-29                    
              4825.6          2.7141e-15                       |         6.21254267e+14      2.10818044e-29                    
              4829.6          2.7536e-15                       |         6.20739728e+14      2.14240945e-29                    
              4833.7          2.7274e-15                       |         6.20213209e+14      2.12562925e-29                    
              4837.7          2.7346e-15                       |         6.19700393e+14      2.13476941e-29                    
              4841.7          2.7055e-15                       |         6.19188423e+14      2.11554655e-29                    
              4845.7          2.7251e-15                       |         6.18677299e+14      2.13439496e-29                    
              4849.8           2.673e-15                       |         6.18154272e+14      2.09713270e-29                    
              4853.8          2.6328e-15                       |         6.17644854e+14      2.06900204e-29                    
              4857.8          2.5672e-15                       |         6.17136274e+14      2.02077640e-29                    
              4861.8          2.5662e-15                       |         6.16628531e+14      2.02331721e-29                    
              4865.8          2.5773e-15                       |         6.16121622e+14      2.03541409e-29                    
              4869.9          2.5594e-15                       |         6.15602906e+14      2.02468539e-29                    
              4873.9          2.5598e-15                       |         6.15097682e+14      2.02832974e-29                    
              4877.9          2.5419e-15                       |         6.14593286e+14      2.01745354e-29                    
              4881.9          2.5516e-15                       |         6.14089717e+14      2.02847494e-29                    
                4886          2.6128e-15                       |         6.13574415e+14      2.08061818e-29                    
                4890           2.611e-15                       |         6.13072513e+14      2.08259051e-29                    
                4894          2.6463e-15                       |         6.12571432e+14      2.11420114e-29                    
                4898          2.6646e-15                       |         6.12071170e+14      2.13230282e-29                    
              4902.1          2.6845e-15                       |         6.11559248e+14      2.15182543e-29                    
              4906.1          2.6754e-15                       |         6.11060637e+14      2.14803231e-29                    
              4910.1          2.6676e-15                       |         6.10562838e+14      2.14526367e-29                    
              4914.1          2.6512e-15                       |         6.10065849e+14      2.13555011e-29                    
              4918.2          2.6712e-15                       |         6.09557275e+14      2.15525208e-29                    
              4922.2          2.6346e-15                       |         6.09061921e+14      2.12918057e-29                    
              4926.2          2.6213e-15                       |         6.08567372e+14      2.12187650e-29                    
              4930.2          2.6073e-15                       |         6.08073626e+14      2.11397270e-29                    
              4934.3          2.5803e-15                       |         6.07568366e+14      2.09556241e-29                    
              4938.3          2.5963e-15                       |         6.07076239e+14      2.11197663e-29                    
