#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              6962.2          1.3402e-15                       |         4.30600182e+14      2.16691512e-29                    
              6966.2          1.3491e-15                       |         4.30352931e+14      2.18381234e-29                    
              6970.3          1.3565e-15                       |         4.30099793e+14      2.19837631e-29                    
              6974.3          1.3393e-15                       |         4.29853116e+14      2.17299343e-29                    
              6978.3          1.3434e-15                       |         4.29606722e+14      2.18214654e-29                    
              6982.3          1.3345e-15                       |         4.29360610e+14      2.17017563e-29                    
              6986.4          1.3372e-15                       |         4.29108638e+14      2.17712095e-29                    
              6990.4          1.3193e-15                       |         4.28863097e+14      2.15043794e-29                    
              6994.4          1.3338e-15                       |         4.28617836e+14      2.17656148e-29                    
              6998.4          1.3442e-15                       |         4.28372855e+14      2.19604234e-29                    
              7002.5          1.3408e-15                       |         4.28122041e+14      2.19305504e-29                    
              7006.5          1.3403e-15                       |         4.27877626e+14      2.19474246e-29                    
              7010.5          1.3429e-15                       |         4.27633491e+14      2.20151149e-29                    
              7014.5          1.3585e-15                       |         4.27389634e+14      2.22962783e-29                    
              7018.6          1.3381e-15                       |         4.27139970e+14      2.19871455e-29                    
              7022.6          1.3681e-15                       |         4.26896675e+14      2.25057247e-29                    
              7026.6          1.3564e-15                       |         4.26653658e+14      2.23386817e-29                    
              7030.6          1.3541e-15                       |         4.26410917e+14      2.23262001e-29                    
              7034.6          1.3408e-15                       |         4.26168452e+14      2.21320739e-29                    
              7038.7          1.3444e-15                       |         4.25920211e+14      2.22173732e-29                    
              7042.7          1.3213e-15                       |         4.25678304e+14      2.18604506e-29                    
              7046.7          1.3363e-15                       |         4.25436671e+14      2.21337413e-29                    
              7050.7          1.3281e-15                       |         4.25195313e+14      2.20229019e-29                    
              7054.8          1.3315e-15                       |         4.24948204e+14      2.21049674e-29                    
              7058.8          1.3422e-15                       |         4.24707399e+14      2.23078792e-29                    
              7062.8          1.3185e-15                       |         4.24466867e+14      2.19388191e-29                    
              7066.8          1.3238e-15                       |         4.24226608e+14      2.20519639e-29                    
              7070.9          1.3174e-15                       |         4.23980623e+14      2.19708240e-29                    
              7074.9          1.3215e-15                       |         4.23740914e+14      2.20641436e-29                    
              7078.9          1.3282e-15                       |         4.23501475e+14      2.22010915e-29                    
              7082.9          1.3153e-15                       |         4.23262306e+14      2.20103190e-29                    
                7087          1.3219e-15                       |         4.23017439e+14      2.21463808e-29                    
                7091          1.3392e-15                       |         4.22778817e+14      2.24615492e-29                    
                7095          1.3277e-15                       |         4.22540464e+14      2.22937974e-29                    
                7099          1.3176e-15                       |         4.22302379e+14      2.21491587e-29                    
              7103.1          1.3297e-15                       |         4.22058621e+14      2.23783892e-29                    
              7107.1          1.3258e-15                       |         4.21821079e+14      2.23378908e-29                    
              7111.1           1.327e-15                       |         4.21583804e+14      2.23832832e-29                    
              7115.1          1.3196e-15                       |         4.21346796e+14      2.22835110e-29                    
              7119.1          1.3387e-15                       |         4.21110055e+14      2.26314691e-29                    
              7123.2          1.3353e-15                       |         4.20867670e+14      2.25999991e-29                    
              7127.2          1.3239e-15                       |         4.20631467e+14      2.24322259e-29                    
              7131.2          1.3283e-15                       |         4.20395528e+14      2.25320498e-29                    
              7135.2          1.3245e-15                       |         4.20159854e+14      2.24928020e-29                    
              7139.3          1.3255e-15                       |         4.19918562e+14      2.25356605e-29                    
              7143.3          1.3157e-15                       |         4.19683422e+14      2.23941174e-29                    
              7147.3          1.3105e-15                       |         4.19448546e+14      2.23305975e-29                    
              7151.3          1.3128e-15                       |         4.19213932e+14      2.23948345e-29                    
              7155.4          1.2956e-15                       |         4.18973725e+14      2.21267724e-29                    
              7159.4           1.301e-15                       |         4.18739642e+14      2.22438443e-29                    
              7163.4          1.3036e-15                       |         4.18505820e+14      2.23132100e-29                    
              7167.4          1.2792e-15                       |         4.18272259e+14      2.19200243e-29                    
              7171.5          1.2811e-15                       |         4.18033130e+14      2.19777046e-29                    
              7175.5          1.2666e-15                       |         4.17800096e+14      2.17531982e-29                    
              7179.5          1.2772e-15                       |         4.17567322e+14      2.19597102e-29                    
              7183.5           1.272e-15                       |         4.17334808e+14      2.18946798e-29                    
              7187.5          1.2472e-15                       |         4.17102552e+14      2.14917170e-29                    
              7191.6          1.2526e-15                       |         4.16864757e+14      2.16094021e-29                    
              7195.6          1.2665e-15                       |         4.16633024e+14      2.18735119e-29                    
              7199.6          1.2687e-15                       |         4.16401549e+14      2.19358755e-29                    
              7203.6          1.2682e-15                       |         4.16170330e+14      2.19516022e-29                    
              7207.7          1.2859e-15                       |         4.15933597e+14      2.22833200e-29                    
              7211.7          1.3158e-15                       |         4.15702898e+14      2.28267710e-29                    
              7215.7          1.3329e-15                       |         4.15472455e+14      2.31490835e-29                    
              7219.7          1.3308e-15                       |         4.15242266e+14      2.31382437e-29                    
              7223.8          1.3435e-15                       |         4.15006588e+14      2.33855933e-29                    
              7227.8          1.3573e-15                       |         4.14776916e+14      2.36519743e-29                    
              7231.8          1.3493e-15                       |         4.14547497e+14      2.35386001e-29                    
              7235.8          1.3369e-15                       |         4.14318332e+14      2.33480883e-29                    
              7239.9          1.3162e-15                       |         4.14083701e+14      2.30126333e-29                    
              7243.9          1.3352e-15                       |         4.13855049e+14      2.33706350e-29                    
              7247.9          1.3539e-15                       |         4.13626649e+14      2.37241286e-29                    
              7251.9          1.3515e-15                       |         4.13398501e+14      2.37082206e-29                    
                7256          1.3443e-15                       |         4.13164910e+14      2.36085896e-29                    
                7260          1.3672e-15                       |         4.12937271e+14      2.40372393e-29                    
                7264          1.3476e-15                       |         4.12709883e+14      2.37187594e-29                    
                7268            1.33e-15                       |         4.12482745e+14      2.34347742e-29                    
                7272          1.3462e-15                       |         4.12255857e+14      2.37463367e-29                    
              7276.1          1.3391e-15                       |         4.12023555e+14      2.36477390e-29                    
              7280.1          1.3334e-15                       |         4.11797172e+14      2.35729772e-29                    
              7284.1          1.3428e-15                       |         4.11571037e+14      2.37652522e-29                    
              7288.1          1.3556e-15                       |         4.11345150e+14      2.40181472e-29                    
              7292.2          1.3288e-15                       |         4.11113874e+14      2.35698087e-29                    
              7296.2            1.36e-15                       |         4.10888489e+14      2.41496958e-29                    
              7300.2          1.3715e-15                       |         4.10663350e+14      2.43806132e-29                    
              7304.2          1.3773e-15                       |         4.10438459e+14      2.45105556e-29                    
              7308.3          1.3739e-15                       |         4.10208200e+14      2.44775052e-29                    
              7312.3          1.3593e-15                       |         4.09983807e+14      2.42439073e-29                    
              7316.3          1.3713e-15                       |         4.09759659e+14      2.44846997e-29                    
              7320.3          1.3909e-15                       |         4.09535755e+14      2.48618225e-29                    
              7324.4           1.393e-15                       |         4.09306508e+14      2.49272586e-29                    
              7328.4          1.4062e-15                       |         4.09083100e+14      2.51909602e-29                    
              7332.4          1.4127e-15                       |         4.08859935e+14      2.53350367e-29                    
              7336.4          1.3984e-15                       |         4.08637014e+14      2.51059532e-29                    
              7340.5          1.3922e-15                       |         4.08408772e+14      2.50225872e-29                    
              7344.5          1.4101e-15                       |         4.08186342e+14      2.53719402e-29                    
              7348.5          1.3967e-15                       |         4.07964155e+14      2.51582151e-29                    
              7352.5          1.4147e-15                       |         4.07742209e+14      2.55101913e-29                    
              7356.5          1.3969e-15                       |         4.07520504e+14      2.52166326e-29                    
              7360.6           1.384e-15                       |         4.07293507e+14      2.50116199e-29                    
              7364.6          1.3836e-15                       |         4.07072290e+14      2.50315750e-29                    
              7368.6          1.3877e-15                       |         4.06851314e+14      2.51330299e-29                    
              7372.6           1.422e-15                       |         4.06630577e+14      2.57822156e-29                    
              7376.7          1.4129e-15                       |         4.06404570e+14      2.56457240e-29                    
              7380.7          1.4231e-15                       |         4.06184317e+14      2.58588865e-29                    
              7384.7          1.4058e-15                       |         4.05964303e+14      2.55722269e-29                    
              7388.7          1.4172e-15                       |         4.05744527e+14      2.58075339e-29                    
              7392.8          1.4012e-15                       |         4.05519504e+14      2.55444960e-29                    
              7396.8          1.3897e-15                       |         4.05300210e+14      2.53622690e-29                    
              7400.8          1.3967e-15                       |         4.05081152e+14      2.55175964e-29                    
              7404.8          1.4131e-15                       |         4.04862331e+14      2.58451381e-29                    
              7408.9          1.3947e-15                       |         4.04638285e+14      2.55368639e-29                    
              7412.9          1.4014e-15                       |         4.04419942e+14      2.56872547e-29                    
              7416.9          1.3908e-15                       |         4.04201835e+14      2.55204792e-29                    
              7420.9          1.3874e-15                       |         4.03983963e+14      2.54855579e-29                    
                7425          1.4243e-15                       |         4.03760888e+14      2.61923030e-29                    
                7429          1.4237e-15                       |         4.03543490e+14      2.62094856e-29                    
                7433          1.4267e-15                       |         4.03326327e+14      2.62930049e-29                    
                7437          1.4412e-15                       |         4.03109398e+14      2.65888229e-29                    
                7441          1.4475e-15                       |         4.02892701e+14      2.67337866e-29                    
              7445.1          1.4416e-15                       |         4.02670829e+14      2.66541686e-29                    
              7449.1          1.4732e-15                       |         4.02454604e+14      2.72677068e-29                    
              7453.1            1.48e-15                       |         4.02238611e+14      2.74229965e-29                    
              7457.1          1.4996e-15                       |         4.02022849e+14      2.78159990e-29                    
              7461.2           1.514e-15                       |         4.01801934e+14      2.81139931e-29                    
              7465.2          1.5335e-15                       |         4.01586641e+14      2.85066360e-29                    
              7469.2          1.5221e-15                       |         4.01371578e+14      2.83250483e-29                    
              7473.2          1.5408e-15                       |         4.01156745e+14      2.87037590e-29                    
              7477.3          1.5628e-15                       |         4.00936781e+14      2.91455536e-29                    
              7481.3          1.5762e-15                       |         4.00722413e+14      2.94269167e-29                    
              7485.3           1.628e-15                       |         4.00508275e+14      3.04265084e-29                    
              7489.3          1.6265e-15                       |         4.00294365e+14      3.04309716e-29                    
              7493.4          1.6535e-15                       |         4.00075345e+14      3.09700087e-29                    
              7497.4          1.6597e-15                       |         3.99861897e+14      3.11193311e-29                    
              7501.4          1.7162e-15                       |         3.99648678e+14      3.22130496e-29                    
              7505.4          1.7287e-15                       |         3.99435685e+14      3.24822881e-29                    
              7509.4           1.769e-15                       |         3.99222919e+14      3.32749648e-29                    
              7513.5          1.8289e-15                       |         3.99005070e+14      3.44392621e-29                    
              7517.5           1.895e-15                       |         3.98792762e+14      3.57219685e-29                    
              7521.5          1.9496e-15                       |         3.98580681e+14      3.67903341e-29                    
              7525.5          2.0184e-15                       |         3.98368825e+14      3.81291614e-29                    
              7529.6          2.0885e-15                       |         3.98151906e+14      3.94964067e-29                    
              7533.6          2.1857e-15                       |         3.97940505e+14      4.13785209e-29                    
              7537.6          2.2876e-15                       |         3.97729329e+14      4.33536390e-29                    
              7541.6          2.4501e-15                       |         3.97518377e+14      4.64825659e-29                    
              7545.7          2.5947e-15                       |         3.97302383e+14      4.92794119e-29                    
              7549.7          2.7051e-15                       |         3.97091883e+14      5.14306495e-29                    
              7553.7          2.8954e-15                       |         3.96881606e+14      5.51070713e-29                    
              7557.7          3.1053e-15                       |         3.96671552e+14      5.91646305e-29                    
              7561.8          3.3263e-15                       |         3.96456477e+14      6.34440772e-29                    
              7565.8          3.6216e-15                       |         3.96246873e+14      6.91495710e-29                    
              7569.8          3.9326e-15                       |         3.96037490e+14      7.51671149e-29                    
              7573.8          4.3427e-15                       |         3.95828328e+14      8.30934497e-29                    
              7577.9          4.7575e-15                       |         3.95614166e+14      9.11288380e-29                    
              7581.9          5.1834e-15                       |         3.95405451e+14      9.93917012e-29                    
              7585.9          5.6039e-15                       |         3.95196956e+14      1.07568199e-28                    
              7589.9          5.8503e-15                       |         3.94988681e+14      1.12416366e-28                    
              7593.9          5.5206e-15                       |         3.94780625e+14      1.06192862e-28                    
                7598           3.889e-15                       |         3.94567595e+14      7.48886182e-29                    
                7602          2.6319e-15                       |         3.94359983e+14      5.07346198e-29                    
                7606          2.1207e-15                       |         3.94152589e+14      4.09233496e-29                    
                7610           2.231e-15                       |         3.93945413e+14      4.30971131e-29                    
              7614.1          2.9342e-15                       |         3.93733283e+14      5.67421988e-29                    
              7618.1          4.1095e-15                       |         3.93526547e+14      7.95539263e-29                    
              7622.1          4.1814e-15                       |         3.93320029e+14      8.10308314e-29                    
              7626.1          3.3876e-15                       |         3.93113727e+14      6.57168005e-29                    
              7630.2          2.9099e-15                       |         3.92902491e+14      5.65105070e-29                    
              7634.2           2.706e-15                       |         3.92696627e+14      5.26058636e-29                    
              7638.2          2.5838e-15                       |         3.92490978e+14      5.02828912e-29                    
              7642.2          2.4985e-15                       |         3.92285545e+14      4.86738218e-29                    
              7646.3           2.441e-15                       |         3.92075198e+14      4.76046901e-29                    
              7650.3          2.4237e-15                       |         3.91870200e+14      4.73167700e-29                    
              7654.3          2.3999e-15                       |         3.91665416e+14      4.69011402e-29                    
              7658.3          2.3646e-15                       |         3.91460845e+14      4.62595849e-29                    
              7662.4           2.331e-15                       |         3.91251382e+14      4.56510960e-29                    
              7666.4          2.2991e-15                       |         3.91047244e+14      4.50733780e-29                    
              7670.4          2.2091e-15                       |         3.90843318e+14      4.33541520e-29                    
              7674.4          2.1622e-15                       |         3.90639606e+14      4.24779962e-29                    
              7678.4          2.1492e-15                       |         3.90436105e+14      4.22666271e-29                    
              7682.5          2.0793e-15                       |         3.90227737e+14      4.09356402e-29                    
              7686.5          2.0166e-15                       |         3.90024665e+14      3.97426042e-29                    
              7690.5          1.9517e-15                       |         3.89821805e+14      3.85036154e-29                    
              7694.5          1.9001e-15                       |         3.89619155e+14      3.75246423e-29                    
              7698.6          1.8723e-15                       |         3.89411658e+14      3.70150418e-29                    
              7702.6          1.8146e-15                       |         3.89209434e+14      3.59116114e-29                    
              7706.6          1.7537e-15                       |         3.89007421e+14      3.47424334e-29                    
              7710.6          1.7181e-15                       |         3.88805617e+14      3.40725064e-29                    
              7714.7          1.6825e-15                       |         3.88598985e+14      3.34019986e-29                    
              7718.7          1.6398e-15                       |         3.88397605e+14      3.25880595e-29                    
              7722.7          1.6032e-15                       |         3.88196433e+14      3.18937311e-29                    
              7726.7          1.5527e-15                       |         3.87995469e+14      3.09211010e-29                    
              7730.8          1.5404e-15                       |         3.87789697e+14      3.07087177e-29                    
              7734.8          1.5099e-15                       |         3.87589154e+14      3.01318404e-29                    
              7738.8          1.4786e-15                       |         3.87388819e+14      2.95377386e-29                    
              7742.8          1.4586e-15                       |         3.87188690e+14      2.91683315e-29                    
              7746.8          1.4404e-15                       |         3.86988768e+14      2.88341462e-29                    
              7750.9           1.397e-15                       |         3.86784062e+14      2.79949676e-29                    
              7754.9          1.3997e-15                       |         3.86584558e+14      2.80780318e-29                    
              7758.9          1.3779e-15                       |         3.86385260e+14      2.76692447e-29                    
              7762.9          1.3748e-15                       |         3.86186166e+14      2.76354667e-29                    
                7767          1.3288e-15                       |         3.85982308e+14      2.67390224e-29                    
                7771          1.3382e-15                       |         3.85783630e+14      2.69559188e-29                    
                7775           1.398e-15                       |         3.85585156e+14      2.81894928e-29                    
                7779          1.3331e-15                       |         3.85386886e+14      2.69085048e-29                    
              7783.1          1.3473e-15                       |         3.85183871e+14      2.72238051e-29                    
              7787.1          1.2966e-15                       |         3.84986014e+14      2.62262874e-29                    
              7791.1           1.285e-15                       |         3.84788360e+14      2.60183637e-29                    
              7795.1          1.2734e-15                       |         3.84590908e+14      2.58099714e-29                    
              7799.2          1.2745e-15                       |         3.84388731e+14      2.58594480e-29                    
              7803.2           1.242e-15                       |         3.84191689e+14      2.52258825e-29                    
              7807.2          1.2446e-15                       |         3.83994850e+14      2.53046131e-29                    
              7811.2          1.2569e-15                       |         3.83798212e+14      2.55808834e-29                    
              7815.3          1.2192e-15                       |         3.83596866e+14      2.48396548e-29                    
              7819.3          1.1996e-15                       |         3.83400636e+14      2.44653540e-29                    
              7823.3          1.2004e-15                       |         3.83204605e+14      2.45067235e-29                    
              7827.3          1.1489e-15                       |         3.83008776e+14      2.34793183e-29                    
              7831.3          1.1732e-15                       |         3.82813146e+14      2.40004327e-29                    
              7835.4          1.1607e-15                       |         3.82612833e+14      2.37695864e-29                    
              7839.4          1.1724e-15                       |         3.82417607e+14      2.40337066e-29                    
              7843.4          1.1695e-15                       |         3.82222581e+14      2.39987294e-29                    
              7847.4          1.1544e-15                       |         3.82027753e+14      2.37130378e-29                    
              7851.5           1.129e-15                       |         3.81828261e+14      2.32155249e-29                    
              7855.5          1.1532e-15                       |         3.81633835e+14      2.37373151e-29                    
              7859.5          1.1382e-15                       |         3.81439607e+14      2.34524227e-29                    
              7863.5          1.1418e-15                       |         3.81245576e+14      2.35505534e-29                    
              7867.6          1.1343e-15                       |         3.81046900e+14      2.34202632e-29                    
              7871.6          1.1326e-15                       |         3.80853269e+14      2.34089475e-29                    
              7875.6          1.1051e-15                       |         3.80659834e+14      2.28637875e-29                    
              7879.6          1.1129e-15                       |         3.80466596e+14      2.30485591e-29                    
              7883.7          1.1048e-15                       |         3.80268730e+14      2.29046226e-29                    
              7887.7          1.0903e-15                       |         3.80075889e+14      2.26269531e-29                    
              7891.7          1.1092e-15                       |         3.79883243e+14      2.30425369e-29                    
              7895.7          1.0726e-15                       |         3.79690792e+14      2.23048017e-29                    
              7899.8          1.0837e-15                       |         3.79493733e+14      2.25590373e-29                    
              7903.8          1.0726e-15                       |         3.79301676e+14      2.23505890e-29                    
              7907.8          1.0596e-15                       |         3.79109814e+14      2.21020521e-29                    
              7911.8          1.0859e-15                       |         3.78918146e+14      2.26735608e-29                    
              7915.8          1.0629e-15                       |         3.78726672e+14      2.22157678e-29                    
              7919.9          1.0856e-15                       |         3.78530611e+14      2.27137335e-29                    
              7923.9          1.0626e-15                       |         3.78339529e+14      2.22549734e-29                    
              7927.9          1.0653e-15                       |         3.78148638e+14      2.23340534e-29                    
              7931.9          1.0473e-15                       |         3.77957941e+14      2.19788447e-29                    
                7936          1.0447e-15                       |         3.77762675e+14      2.19469517e-29                    
                7940          1.0456e-15                       |         3.77572366e+14      2.19880074e-29                    
                7944          1.0473e-15                       |         3.77382249e+14      2.20459526e-29                    
                7948          1.0556e-15                       |         3.77192324e+14      2.22430529e-29                    
              7952.1          1.0641e-15                       |         3.76997848e+14      2.24452995e-29                    
              7956.1          1.0406e-15                       |         3.76808309e+14      2.19716961e-29                    
              7960.1          1.0169e-15                       |         3.76618961e+14      2.14928788e-29                    
              7964.1          1.0249e-15                       |         3.76429802e+14      2.16837403e-29                    
              7968.2          1.0431e-15                       |         3.76236112e+14      2.20915248e-29                    
              7972.2          1.0355e-15                       |         3.76047338e+14      2.19525902e-29                    
              7976.2          1.0237e-15                       |         3.75858754e+14      2.17242139e-29                    
              7980.2           1.019e-15                       |         3.75670358e+14      2.16461683e-29                    
              7984.3          1.0424e-15                       |         3.75477448e+14      2.21660032e-29                    
              7988.3          1.0118e-15                       |         3.75289435e+14      2.15368758e-29                    
              7992.3          1.0155e-15                       |         3.75101609e+14      2.16372856e-29                    
              7996.3           1.033e-15                       |         3.74913971e+14      2.20321955e-29                    
              8000.3           9.889e-16                       |         3.74726522e+14      2.11127215e-29                    
              8004.4          1.0131e-15                       |         3.74534580e+14      2.16515592e-29                    
              8008.4          1.0147e-15                       |         3.74347509e+14      2.17074330e-29                    
              8012.4          1.0174e-15                       |         3.74160625e+14      2.17869418e-29                    
              8016.4           1.016e-15                       |         3.73973927e+14      2.17786905e-29                    
              8020.5          1.0129e-15                       |         3.73782755e+14      2.17344549e-29                    
              8024.5           9.996e-16                       |         3.73596435e+14      2.14704677e-29                    
              8028.5          1.0159e-15                       |         3.73410300e+14      2.18423358e-29                    
              8032.5           9.831e-16                       |         3.73224350e+14      2.11581874e-29                    
              8036.6          1.0243e-15                       |         3.73033943e+14      2.20674004e-29                    
              8040.6           9.908e-16                       |         3.72848368e+14      2.13669340e-29                    
              8044.6           9.742e-16                       |         3.72662978e+14      2.10298575e-29                    
              8048.6           9.869e-16                       |         3.72477771e+14      2.13252010e-29                    
              8052.7            9.97e-16                       |         3.72288126e+14      2.15653988e-29                    
              8056.7           9.873e-16                       |         3.72103292e+14      2.13768061e-29                    
              8060.7           9.899e-16                       |         3.71918641e+14      2.14543883e-29                    
              8064.7          1.0024e-15                       |         3.71734174e+14      2.17468714e-29                    
              8068.7            9.96e-16                       |         3.71549889e+14      2.16294647e-29                    
              8072.8           9.796e-16                       |         3.71361187e+14      2.12949418e-29                    
              8076.8           9.561e-16                       |         3.71177272e+14      2.08046911e-29                    
              8080.8           9.629e-16                       |         3.70993539e+14      2.09734173e-29                    
              8084.8           9.705e-16                       |         3.70809988e+14      2.11598896e-29                    
              8088.9           9.576e-16                       |         3.70622036e+14      2.08998113e-29                    
              8092.9           9.639e-16                       |         3.70438853e+14      2.10581213e-29                    
              8096.9           9.615e-16                       |         3.70255850e+14      2.10264587e-29                    
              8100.9           9.443e-16                       |         3.70073028e+14      2.06707306e-29                    
                8105           9.697e-16                       |         3.69885822e+14      2.12482286e-29                    
                8109           9.733e-16                       |         3.69703365e+14      2.13481684e-29                    
                8113            9.51e-16                       |         3.69521088e+14      2.08796284e-29                    
                8117           9.484e-16                       |         3.69338991e+14      2.08430818e-29                    
              8121.1           9.489e-16                       |         3.69152527e+14      2.08751430e-29                    
